"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Eddie Butler","","SP,RP","51.4","30","0","0","1","5.46","1.58","31","61","20","11","21","2","4","0%"
"Jefry Rodriguez","CLE","SP,RP","38.8","32","0","0","1","5.63","1.72","24","45","22","7","21","2","2","0%"
"Vicente Campos","PIT","SP,RP","37.2","25","0","0","1","5.63","1.67","23","43","19","12","13","2","3","0%"
"Brett Anderson","OAK","SP,RP","77.7","51","0","0","1","4.44","1.40","38","89","20","8","18","5","5",""
"Edwin Jackson","","SP,RP","92.7","70","0","0","1","4.77","1.43","49","92","41","16","19","5","6",""
"Rhiner Cruz","TOR","RP","31.6","32","0","0","1","4.46","1.49","16","30","17","5","28","2","2",""
"Sam Gaviglio","TOR","SP,RP","75.5","59","0","0","1","4.72","1.35","40","81","21","13","35","3","5",""
"Dario Agrazal","PIT","SP,RP","54.5","30","0","0","1","4.51","1.36","27","63","11","12","15","3","4",""
"Sean Doolittle","WSH","RP","56.7","72","30","2","2","2.75","0.95","17","42","12","7","57","3","2","85%"
"Kirby Yates","SD","RP","62.0","87","30","6","2","3.14","1.11","22","48","21","8","65","3","3","88%"
"Ross Stripling","LAD","SP,RP","114.3","117","0","0","2","3.49","1.18","44","108","27","14","36","8","6","62%"
"Jose Leclerc","TEX","RP","63.0","88","29","10","2","3.15","1.23","22","42","36","6","64","3","3","84%"
"Cody Allen","LAA","RP","64.6","78","30","6","2","3.93","1.26","28","55","27","9","66","3","4","81%"
"Mychal Givens","BAL","RP","68.1","75","24","7","2","3.67","1.23","28","57","27","7","66","3","3","49%"
"Shane Greene","DET","RP","65.0","67","27","6","2","4.26","1.34","31","64","23","8","64","3","4","49%"
"Colin Poche","TB","RP","39.4","54","0","0","2","3.28","1.21","14","30","18","6","34","2","2","0%"
"Liam Hendriks","OAK","RP","35.5","40","0","0","2","3.57","1.23","14","32","12","4","39","2","1","0%"
"Jim Johnson","","RP","47.9","40","1","0","2","3.85","1.31","20","45","17","5","41","3","2","0%"
"Austin Pruitt","TB","RP","57.0","45","1","0","2","4.29","1.32","27","62","14","8","36","3","3","0%"
"Brad Wieck","SD","SP,RP","32.2","40","0","0","2","3.52","1.27","13","26","14","4","29","2","2","0%"
"Andrew Kittredge","TB","SP,RP","44.8","40","0","0","2","4.09","1.35","20","45","15","5","34","3","3","0%"
"Yoan Lopez","ARI","RP","37.0","43","0","0","2","3.92","1.31","16","32","16","4","37","2","2","0%"
"Jon Edwards","CLE","RP","37.1","44","0","0","2","4.24","1.31","17","31","18","4","36","2","2","0%"
"Ty Blach","SF","SP,RP","62.7","37","0","0","2","4.29","1.39","30","68","19","8","30","3","4","0%"
